Sentiment,Review
1,"I think I set my expectations too high for this place. Being chinese I keep hearing how good the dim sum was in toronto. I studied Yelp for a good while trying to find a dim sum place with good reviews. I looked at all different menus from different places and decided on this place. It was cash only so I had money exchanged after we crossed into Canada. We drove 2 hours (there was traffic) to get there. Had to pay for parking. It was a small hole in the wall place with literally 8 small tables total. I've been in many hole in the walls so no judging there...especially if the taste of the food was out of this world good! Not in this case...I must say that I've had better dim sum at a mediocre place in VA. MD by far has the best dim sum so if you're in the Rockville area, try out the dim sum there, both Cantonese and Taiwanese style! 
Anyways my family liked it but their not Chinese (my mixed family of Blasians) so to them, dim sum is dim sum. They did agree that we have better dim sum back home in VA/MD. 
The selection wasn't as great either but I did see the cook in the back making the dumplings fresh. My youngest son love dumplings and he commented that it wasn't as good as my mom's lol. Duh..of course grandma makes the best dumplings. 
The server was very nice but we wont be back. Dont believe the hype! Or at least not from here."
0,"Oh my God!! How did they get high ratings!!????? They had sectional sittings and some open areas. The place is dark for a Chinese restaurant. The decor is mostly wooden plaques and wood carvings. 

The servers or staff there were not friendly and talked behind your back. Yes, I understand Mandarin even though I spoke English to them!! I had to get up twice to get their attention and they only had three tables with customers. 

It's supposed to be fine dining so I had a feeling that the portion would be smaller. Ok. But why all the saltiness in your dishes!!! The veggie dish was pricey and decent. The shrimp fried rice lacked the shrimps. They were tiny!! The rice was hard. It felt more of a Caucasian dish. The beef and broccoli dish was the largest dish full of salt!! Basically eat and drink lots of water. 

I was obviously not satisfied or full. Dishes were TOO SALTY, even my friend didn't like them. 

Never will I go back!"
0,This was just okay for me. There are so many hand pulled noodle places in Toronto now that I'm not sure this really stands out. They have generous noodle portions but not so many veggies. Meat was all right. I think my big mistake was getting the chicken wings which turned out being tasteless and with breading similar but (not as flavorful) as KFC. Oh well. On to the next place.
1,"We were wandering through Yorkville and looking for something to eat when we spotted Dynasty Chinese Cuisine. Dim sum in the middle of Yorkville? Sure, why not.

We requested a seat on their patio and the waiting began. Our waiter finally showed up with menus a few minutes later but honestly, I was baffled (and a little annoyed) by its vagueness. The dim sum menu is devoid of prices, and since our waiter appeared only sporadically, we had to wait a while before we could even begin choosing our food. (Like, if everything is going to cost $10, we certainly weren't going to stay. And because this is Yorkville, that's absolutely a possibility.)

Anyway, he finally explained the menu and the costs, so we decided to order six items. The food was all fine. There were no really distinctive flavors to be found but everything was prepared relatively well. (We did get a short-rib dish that was basically inedible due to a preponderance of bone and cartilage, however.)

I had to wait a while to start eating, though, because I needed a fork and, surprise surprise, our waiter was nowhere to be found.

With service like this and food that's just barely passable, it's hard to envision returning."
1,"I'm really not sure why this place has such great reviews, I found the food merely average. The interior reminds me more of the Southeast Asia budget ""backpacker"" vibe, ie partiers. It's certainly a part of the Thai experience but not really my thing.

Tom yum soup - this was pretty solid with vibrant flavors and a good kick. Maybe I've really lost spice tolerance but I was starting to drip before I was done with the cup...

Pad cha hett - mushroom stir fry. I got this with black rice just to try something new and it didn't quite fit the rest of the dish. If you get this, stick with the jasmine. The stir fry part was disappointingly bland though. It had a bit of a fennel taste to it, not sure what that comes from."
0,"This is a tough one! As some of you may know I love Tacos! I kept hearing that Itacate was the best place to grab the most authentic tacos in Toronto and obviously I had to give it a try. This little spot is located on St.Claire W and it doubles as a Butcher shop. I walk in and it smells amazing! I love pork tacos and since I can cook all other tacos I decided to get the Carnitas and El pastor. I was so excited and 2 of the saddest looking tacos were brought over. 

Now, looks are not everything so I decided to take a bite. Even though the tacos were super plain I figured if the meat is super flavourful I won't need any sauces. The meats were very chewy, at one point I felt like I was eating leather. Most of the Pork had gooey fat all over it and I just wasn't a fan. I added cilantro, onions and the extra spicy sauce which helped with flavour but the meat was a big issue for me. 

Keep Eating,
Angela"
2,"WHAT TO TRY?!

The Mexican corn!! I love their corn with that wonderful seasoning! The quesadillas are are also delicious too especially when it comes piping hot and the tortilla is lightly pan fried. The sauce is a great mix which makes it more flavourful. 

I liked the baja fried fish tacos the most out of all the tacos because it had the right combination of garnishes and the tortilla is corn over flour. The bulgogi taco was a bit too sweet for my liking tho. It is flavorful and full of sauce but the marinade they used for that taco may be too much. 

I also tried the avocado taco. It's a grilled quarter piece of avocado in the tortilla. I would have liked it if it wasn't that big of a chunk tho because although outside is grilled, inside is just plain old avocado. Having sliced a bit more thinner would have been nicer. 

The mushroom taco is a good vegetarian alternative for tacos and comes with great flavour. Lots of mushrooms but it's not some fancy mushrooms. Just regular mushrooms though. 

The asada, pork and chicken tacos are always a good staple to have for tacos. They are cooked with a lot of flavours which are great!

LAST TIP?!

They have water for free so if you are fine with water as a refreshment, then don't have to worry about ordering any other drinks. Quesadillas come with guacamole and chips on the side so no need to order more guacamole and chips as a snack! However tacos only come with chips, no complimentary guacamole - just something to keep in mind!"
1,"Food was tasty.

Eyelash found in tripe dish.

Guy tried to give us leftovers.

Prices are not available unless you ask. FYI here are the prices."
0,"Went for dinner with five friends to celebrate my birthday. The food was excellent until the waiter offer me complimentary dessert. After ""happy birthday"", I dug in to the mini cake. That's when my friend noticed the mould. One of my friends discretely sent the dessert back to the kitchen. The waiter did not offer us a word of apology or a discount. I found that quite surprising and unprofessional. The whole situation left a bad taste in my mouth - not sure I would return."
0,"I was in shock with food here...the food was extremely disappointing. For prices that are on par with most mid-range Italian restaurant, the food was horrible.
 
I came here with reservations and we were seated immediately. It was during dinner hours but they only had one staff serving all the tables. With just one server, the service was really slow from bringing us the menus and taking down our orders. 
 
Service:
 
The service was slow since they don't have many staff. 
 
Food:
 
My friend and I ordered two appetizers and two entrees to share. Out of the four items we ordered, only one of the item was decent with the rest being disappointing. 
 
N'duja bruschetta - We were deciding to order a bruschetta and opted for this one because it was different. The menu described this to be a bruschetta with a spicy pork sausage spread drizzled with honey. Although I was aware that this was going to be just a spread on bread, it looked disappointing when it arrived to the table because the spread was so thin. I was expecting something thicker to give it more flavor.  I also looked at other tables bruschetta and it looked very average.
 
Calamari Fritti - Another disappointing appetizer. When this arrived, I was a bit shocked because it didn't even look like there was batter... When my friend and I tried it, we both agreed that there wasn't enough crisp. The dish didn't look appetizing either.  
 
Gnocchi Gorgonzola - I wanted to try the gnocchi since the menu states they are handmade. The pasta came out and I thought the color was unappealing; it was like a greenish/greyish color. I guess it is because this sauce is a nutty creamy sauce. The texture of the gnocchi was chewy and nice. However, I wasn't a fan of the sauce.
 
Tagliatelle al Funghi Misti - This was AWFUL Some of the noodles were stuck together and this is the first time I've experienced this at a restaurant. The menu does mention this is a lighter sauce, and I thought it was a lighter flavor....but I didn't expect it to be less saucy.  There was BARELY any sauce actually.  The sauce was pretty much nonexistent and I felt like eating noodles in water. This pasta had no taste. It was $18 and it was literally just plain noodles without much sauce and flavor; the pasta was very dry. 
 
Overall:
 
I would never return. With most of their pastas ranging from $17-20, I was expecting similar quality to other restaurants in this price range. The tagliatelle was so dry and awful. The bruschetta also barely had any toppings on it."
1,"Service was as ok, dumplings are ok (depends) place is kinda gross. 

If you're not picky then this place might have good dumplings for you, just ignore the poor cleanliness of the place then you're good! The plates they use look old, and I question the cleanliness of the stuff they use. I saw a pile of serving plates near the front where they're cooking and I couldn't figure out if it was the dirty pile or the clean pile.

Service is prompt, I've been here a couple of times. My first time was with my s.o., who is white. We pretty much got ignored most of the time, the only time they attended to us was to ask for our order and to pay. 

The second time was with my Chinese friend, she spoke in Mandarin to them and I noticed they actually filled up my water a couple of times, I have no idea if it's cause I went with her.

Now for the dumplings, my friend said that the wrapper they used was too thick for her liking, and she said it made sense since they used dough. I didn't mind but the filling of the dumpling had a gross bitterness to it, and this comes from someone that willingly eats bitter melon. The pan fried one tasted better, but near the end we got sick from eating it cause of the oil, it pooled at the bottom.

The first time I went here, I only got steamed dumplings, I got the mushroom and spinach one and it was tasty. My boyfriend got steamed pork dumplings and he didn't complain, although he seldom does. I definitely think it's a must try but you can only pay in cash so make sure you bring some. If you're with TD, you might need to trek a bit if you want an ATM, otherwise CIBC, RBC and Scotiabank clients are good since the ATMs are in close proximity"
2,"Growing up my view of Mexican food was limited by Taco Bell's interpretation of Mexican food...Hard and soft tacos, bean burritos and anything else off the value menu.  Yes, I admit it I had a very deprived childhood!

Mexico Lindo is located in a great foodie plaza at Birchmount and Hungtingwood.  To clarify there's a bunch of other places called Mexico Lindo throughout the GTA but I'm not sure if they are all related in anyway as the set ups all look different.  Its a bit of a dive but let's admit it, some of the best food are not found in super expensive places but the most ghetto dives around.  

Serving authentic and delicious fare from burritos, enchiladas, tacos, etc.. its a great gem of Mexican food in the part of the city where good Latin food is really hard to find.  Portions are large and prices are reasonable with prices from $10-$15 per entree and burritos around $8.

The place is more of a take out place but there are a few tables for a sit down meal.

No need to ""run for the border"" to get a good Mexican meal especially if Trump gets his way building that darn wall:).  A solid 4/5 from me!"
1,"I think I ordered the wrong broth here. I probably would have enjoyed my meal much more but the broth was overpowering, a lot more pungent than I'm used to. But I powered through it and it ended up being good. So point is, don't get the pickled vegetable with pork broth unless you know what you're getting into! I wish I could come here to try more soups. I love the concept: Piping hot soup still boiling as you dip the veggie and other condiments in. Add a few slices of pork and then the noodles as your last bet. Very presentable and affordable!"
1,"For a party of 3, we ordered 3 set meals and 2 drinks, and we left with our stomachs pretty full. This is my 3rd time at this location, but unfortunately stars were docked off for quite an uncomfortable experience. 

Made a reservation for a party of 3 for 6:30pm on a Tuesday, what we were given was a small table for 2 with a small stool at the side of our table, with my back to the adjacent customers table at a corner, which essentially felt like I was in the middle of the walkway. Throughout the entire dinner, I had felt extremely awkward and uncomfortable as I had felt the waiters/waitresses' bodies touching mine every time they came by to serve food to the table behind me. We've requested 2 times, when the restaurant was not packed for a larger table, but nothing was to be done. Unsurprisingly, I felt like we were being rushed in finishing our plates one right after the other as there were no room at all to fit any dishes anymore. 

If we had proper seating and space, I believe the experience would have been that much greater."
2,"Since my first Wilbur visit I have ventured back my times and each better then the last!

The Fajitas in general are outstanding and at 18$ they make for good value too considering you can share easily

Ohhh and chips with Guac are a must!

........me encanta."
1,The food quality and quantity is good. They are making the fresh food for the right price. One thing they need to improve is the cleanliness of the plates and cutlery. Nice spot for Mexican food.
2,"One of the best Mexican meals I've had in Toronto. Great flavourful tacos for a very reasonable price. Nice home made salsas out front. This place is as close as we have had to the  amazing hole in the wall joints we usually visit in Florida.

We tried most of the tacos they make including El pastor , nopales (cactus), shrimp, steak and chicken. All tasted splendid. Can't wait to try everything else on the menu. 

Highly recommended"
1,"Freshly made, high quality ingredients. However for me, it was made with too much pepper and it was lacking flavour and creaminess. If an egg yolk was used, I could not taste it. I usually love carbonara, but I would not order this again."
1,"Came for lunch around 12:30. The place only has two tables and some standing room. After you order and pay, they give you a number and  you seat yourself. 

The tacos all tasted good but were quite overpriced at 6 bucks each. The enchilada tasted good and was better priced at 8 bucks. 

I didn't feel the service was great, the cooks seemed annoyed when orders started piling up or when a customer asked for the provided cilantro/onions/ salsa to be refilled. Space wise the place sucks with only two tables. They also said there was not bathroom for customers ( even though if we paid). Floors and tables were not clean either. 

I also asked their facebook page a few days before my saturday visit if they have tamales. It's on the menu and some reviews on other review sites mentioned they are not usually available. I got a reply within 1 hour that they would have tamales around noon. When I asked about them, i was told they make them some weeks and not others. I do not think they are worth returning to. There are other taquerias in the city that have cleaner restaurants and friendlier staff. Take out might be ok."
0,"I have one question: who are you people who gave this a 4 or 5 star rating??????
We visited for dinner on Saturday evening. When the server appeared to fill our water glasses using a plastic pitcher we knew it was a bad sign. Most disappointing dining experience. We made the reservation based on reviews. I'm simply shocked this restaurant has a 4.5 rating. The food attempts to be high end fine cuisine but is really just pretending. We had the caprese salad. The tomatoes were large (rock) hard basic garden tomatoes - served freezing cold. The mozzarella was rubbery, not creamy like a caprese salad should be. The arugula was a basic run-of-the-mill salad. Excessive and boring. I had the black cod special. The portion was huge and that was all it had going for it. The cod was served on a big bowl full of under cooked garden vegetables (carrots and cauliflower) with watery-tomato sauce. It was a dish you'd expect at a family restaurant chain. It wasn't served how black cod should be. My husband's excessive serving of orecchette was bland and served in a bowl of liquid. 

The only positive feedback we can share...the martinis were delicious and the server was lovely and friendly. 

It was a cold evening but the dining room was uncomfortably cold and the washrooms were FREEZING.  Yes, it was a very cold evening in the city but this is a restaurant - it should at least be warm. I understand the restaurant has been around for over 30 years - they've had plenty of time to figure out the heating. 

The dining room is old and tired, not in a charming way. There was paint peeling from the ceiling above us. We were seated at a table beside a shelf loaded with about 100 bottles of wine that hadn't been dusted in the restaurant's 30years. I've not seen a worse display of wine.

I loved that it was a family-owned restaurant - that's whey we went. It's low end and overpriced. This is not a Yorkville-grade restaurant. Save your money."
2,"This place is great! I've been craving tacos for a long time and decided to check this restaurant out. It was a small and cozy restaurant with great decorations. 

I got the chicken, the beef, and the pork tacos. I got a number and they brought the tacos out to me. They were seriously filled with meats and stuffings! I don't think I've ever had a taco that had so much filling. While I usually get 4 tacos, 3 tacos here were definitely enough to fill me up. 

I'll definitely be coming back here to try out all their other flavours or to grab a quick bite."
0,"A disappointment for vegetarians. I'd read about King's tacos on Yelp and on some Facebook discussions and expected to be pleasantly surprised by their home-style serving style and innovative veggie options. Sadly that did not happen. 

We ordered the veggie tacos and were excited to try the welcome chips and salsas. Turns out at least one of the salsas has chicken stock - why!? - and the rest were just watery meh. 

The veggie tacos were fine at best. Pretty oily and just boring. And, finding a meat piece in the veggie mix was the final straw. Definitely won't be back and still in search of a decent veggie taco in Toronto. Tips welcome!"
0,"I live in the Yonge/ Egg area and always heard this was supposed to be the best place on Yonge for food as the neighbourhood is quite lacking in the food area to begin with. 

I had high hopes for this restaurant but was gravely disappointed with the service and the food. The flavours they have are all wrong. Most of the food was very pungent and did not have a smooth flow of flavours. It was rather sour the risotto we ordered. We also ordered prawns and the sauces they chose were sour and pungent with too much salt. ( it's all in the sauce for Italian dishes). 

The Gnocchi was okay, it tasted like the Costco brand in a cream sauce ( who could mess up a cream sauce tbh) anyhow I am very disappointed. I did not find the food appetizing at all. The flavours were all mixed up and not great on the palette. 

My waiter unfortunately was very short tempered and seemed agitated the whole time whilst serving my family and I. Whenever we did need something he was never available and would rush off before we finished speaking with him. 

Anyway sad to have to review it like this but that is truly my opinion. 

No match to Campagnolo on Dundas or Buca"
2,"I went back here and had the zucchini fritters and brisket burrito. Both were really good! I want to try the tacos again, but loved the burrito."
2,"Awesome food. Great friendly staff. 

Highly recommend the fish tacos. 

If you are in the mood for Mexican and are in the area you won't find better."
1,"3.5 stars to some more great options of 4 stars.  Not going to lie... it's true Kensington in every sense of the neighbourhood.

If you're willing to look past the rough and gritty exterior, you may find some good tacos here.  Nothing risked is nothing gained and I feel that La Chilaca Taqueria fits that perfectly.  It's in the 'food court' of several Latin American food stalls.  Food court is an understatement... It's more like a disheveled, heavily worn and dirty open non A/C store that has every stall spilling out into a small room.  It shares the space with 3 other stalls.  

There are some tables in the back of the dingy place but there's a weird smell emanating from the back as you sit beside several broken old unused glassed counters.  On a crazy hot day, the lack of A/C makes this insane and feel like an oven.  The open back door to a few more seats barely helps.  The 'kitchen' is really a small stove top and a crammed setting of a kitchen sink and a counter to assemble.  

You're quickly greeted and told to look up at the menu.  There are daily deals like 2 chorizo tacos for $5 or 4 other tacos for $10.  Each taco is $5 each regardless of the type.  When we went, the carnitas werent ready but they had 8 other ones you could try.  Service here is efficient but I have to admit they were all busy with the World Cup... can't blame them since the entire Kensington (let's be real... Toronto) is watching.  I do have to worry a bit when we overheard the person in the kitchen saying how can they cook this chicken in under 3 minutes... ehhhh wut?  How about cooking it till it's done?

I have to admit the addition of their sauces really perked these up so grab some before taking a bite into them.  The creamy orange one has some good heat that could make you water up a bit if you're not careful.  I wasnt expecting that type of heat and wow, yeah... ice cream was needed to cool my tongue.  What I thought would be the spicy red transparent sauce was actually a tomato one that didn't have any heat and just added a little bit of flavour.  There was also a nice vibrant green sauce that was very good mix of mild jalalpeno, onions, and cilantro.  Totally refreshing to add.

Fish Taco - My favourite of the tacos.  The fish pan fried and still tender without being dried out.  This was a stuffed taco... the type where you take a bite and you realize that the sauce and pickled onions are just going to be exploding soon.  The sauce just oozes out onto your hand and you're soon licking your fingers.  The cilantro just gives a nice freshness to it... I know, not everyone likes cilantro but it's good on this one.  Another thing I love about this... they double wrap the taco so they dont fall apart easily AND they toast the corn tortilla up so they're a bit crispy.  Nice one. 4/5 

Vegetable Taco - Soooo I keep ordering Vegetable Tacos and I keep wondering why afterwards.  My search for a good one continues but I learned that tofu and cheese really doesn't work... at... all.  I feel like you do one or the other.  It's just a weird combination.  In addition to those, they had cilantro, pickled onion, and tomatoes. This one wasn't as flavourful so it really benefits from either the orange hot sauce (that will scorch you) or green fresh herb one.  3/5

Chorizo Taco - Another solid taco with the paprika giving the pork a nice flavour.  It was cooked fresh from the sausage and it didnt taste like it was standing in some pot for a few hours.  They garnished with pickled onions and cilantro and helped cut through the rich meat.  I was told this was authentic to the style in Mexico city.  4/5  

Beef Taco - Maybe I wasn't in the mood for cheese but the beef and cheese one didn't quite work.  As generous as they were with the cheese... I just felt this one was really quite heavy and a bit oily.  The beef was possibly a bit overcooked which made it a bit on the dry side.  I could have added more sauce to it but something didn't quite work as well as the chorizo.  3/5

Shrimp Taco - This was a solid one with small shrimps cooked fairly well.. they werent rubbery or dried out.  Just a nice juicy chew.  They added a spice to it that kept it out of the bland side ... though I have to admit, this wasn't as flavourful as the Chorizo.  This one does work well with a sauce to keep it from being boring.  They did garnish with the usual pickled onions and cilantro.  3.5/5

There are some really good tacos coming out of here and made freshly with some in house made sauces that really make the tacos pop.  BUT if you're the type where you're concerned about atmosphere, this might put you off.  Worse case, you can take it to go and eat it while you're walking about Kensington but just bring a few napkins, ok a lot... cause you're going to be leaving a trail of food dripping otherwise!"
0,"We went with my children to this restaurant and the service was good but the food was mediocre and heavily priced for the value. I ordered a cheese melt, and got more sausage than cheese and the cheese was cheddar (this dish is not done with cheddar). For $40 dollars per person without alcoholic beverages, one would expect so much more. It was 7 pm and the place was empty. Very disappointed. We won't go back!"
2,"Hands down the best tacos in Toronto! (at least based on what I've tried so far). We tried both chickens, the barbacoa and the shrimp tacos. The flavors are all right one. The meat is juicy with flavorful sauces and garnished perfectly. The tortillas seem to be homemade corn tortillas. Having lived in US for several years I've had a lot of Mexican food and El Nahual was definitely comparable to some of the best places I've been to. We specially really liked barbacoa and the shrimp and the Yucatan chicken. 

Food: 5/5
Service and atmosphere: 4.5/5
Price: 4.5/5
Overall: 5/5"
1,"A difficult review to write... have had Agio bookmarked for a long time. 

Pitched it for my work lunch and because everyone trusted me Agio was booked. 

There were a few changes in numbers but the day before I did confirm 9 people with a birthday celebration. 

We arrive to a chilly empty restaurant at 12pm hungry and ready to try delicious pasta. 

We sit and ariund 1215pm i order calamari, trio bruschetta and cauliflower fritters to start. Half of us were there and the other half trickled in. The latest person arrive and we order entrees around 1240pm. 

At 115pm is when we first start to get appetizers. The friendly owner was the only one taking care of tables and cooking. 

Our entrees came around 145pm. The difficulty is that not everyone has a 2 hour lunch. The birthday girl ended up having to leave with no entree just apps because she had an appointment at 2pm. 

We finally wrapped up the meal around 215 with creme brulee on the house, the owner made it specifically for us the might before. 

I liked the apps, amuse bouche of squash stuff grilled zucchini. My spicy tomato spaghetti was delicious and pasta was fresh. 

The chef reminded us this several times that his food is made fresh. 

We ended up being the only table the whole time, off the lunch menu the meatballs werent available and half the table didnt love their entrees. Not 4.5 stars love anyways. 

Disappointing because I felt like the chef should have had someone come in to help or tell us the calamari cant be ordered becausr of the work behind it. Turned out chewy which was unfortunate. 

Just wish there was more communication. It was quite embarrassing for me to be responsible for a mediocre hangry people filled lunch :(

I was still defending the restaurant the next week... ill go back to try with a smaller group. 

It does have character I just don't think it was a good mix for a large group that didn't have 2.5 hrs for lunch."
2,"La Carnita is one hip taco joint in the heart of the downtown core. We were a party of five on a Friday night so we had reserved our seats in advance. Our server was super knowledgeable about the menu and really gave us useful insights and advice of what to order.

We ordered the tortilla chips with all three dips to give some variety to our table. The corn salsa was my absolute favourite. They were all quite delicious though. The corn salsa stood out because it was sweet, tangy, and aromatic. It just paired so finely with the chips. Next, we started ordering our tacos.

As per recommended by our server, I got the In Cod We Trust and the Pollo Frito tacos to start. Each tacos was about the size of your hand and was loaded with a sizeable protein and veggie. The Pollo Frito stood out for me because of its slight crunch and exploding flavour from the peanut lime sauce. The cod taco was an interesting combination. I liked the flaky texture of the fish and the fresh vegetables. These tacos really impressed me so I ordered the Carne Asada taco to finish. The steak had an intoxicating smoky flavour which I really liked. 

I had to grab some churros in the end to really tie my meal together. They gave me 3 huge churros along with a sweet dip. Really loved the crispy exterior and tender centre.

Super happy I tried this place out. It is such a great place to dine in on a casual outing!"
1,"The interior here is spacious and clean, which makes it a good place for happy hour or business meals. The servers were quick, but it took some effort to get their attention sometimes. 

We had the dan dan noodles, pork belly over rice, XLB, and pan fried dumplings. Although this was a mix of appetizers and dimsum, the amount of food was just enough for us. My favorite was the dan dan noodles, especially with the hot chili oil for those that like spice. 

Overall I had a good dining experience but was a bit disappointed with the dimsum selection. I was looking for a good dimsum restaurant in Chinatown and, for being labeled a dimsum restaurant, there wasn't that much."
1,"3.5/5 
The food is alright and authentic, prices are reasonable for the area and the service is friendly. The guacamole is made fresh to order so that's always a plus! I ordered 3 different taco flavours (steak, pork and fish) and preferred the steak fajitas tacos the best as it was super juicy. Wish there was some type of small side that accompanied the meal."
